Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_acc_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,engine.engine_rpm,driver_demands.throttle,driver_demands.brake
3.19139E-05,0.2642522,-0.019673966,5.61701E-05,-2.41318E-05,0,0,3881.687286,0,0
0.000181494,0.071578383,0.023448577,0.000294434,-0.000166085,0,0.054344866,3882.597934,6.14894E-05,0
0.000630328,-0.278421855,0.054187058,0.004117449,8.634E-05,0,0.048448307,3875.940886,0.069624557,0
0.004839504,-0.46417466,0.084878364,0.024206678,0.003162719,0,0.041790851,3880.424884,0.411351364,0
0.026725341,-0.434251244,0.082143696,0.097089691,0.018608496,0,0.034493556,3887.08288,1.117845416,0
0.089081814,-0.299769693,0.053428326,0.231939412,0.060943427,0,0.026682574,3891.837297,2.159542208,0
0.202850458,-0.181507394,0.020603327,0.41529718,0.136885616,0,0.01848728,3894.072188,3.412034958,0
0.36012706,-0.130191564,-0.002336589,0.610540434,0.240524367,0,0.010039254,3894.758419,4.700426832,0
0.538310195,0.297312115,-0.406033916,0.770103536,0.35590619,0,0.001471825,3989.742924,81.22476754,0
0.709513351,1.526261423,-0.481074183,0.85678572,0.465410262,0,0.005344133,4060.501549,88.6000892,0
0.848009572,2.438787721,-0.606321996,0.81862611,0.552546858,0,0.011850424,4065.958949,91.36170979,0
0.938916833,2.839116272,-0.640116074,0.701708671,0.606601094,0,0.018349064,4044.428024,92.09195407,0
0.986534461,2.885494443,-0.57516014,0.518788944,0.625974546,0,0.024843491,4018.482284,93.05030253,0
1.010433595,2.72989843,-0.453530501,0.27405377,0.619021081,0,0.031337055,4000.708636,94.175361,0
1.026927018,2.515101299,-0.314998029,0.047852468,0.596297211,0,0.03783236,3995.30999,94.77448785,0
1.045029887,2.354517187,-0.1961072,-0.152902139,0.563808158,0,0.044330731,4000.485477,95.50698298,0
1.068165076,2.29632111,-0.119175695,-0.316580392,0.525906492,0,0.050831125,4010.246323,95.88895464,0
1.096657932,2.314584926,-0.078875383,-0.43492688,0.485268634,0,0.057330206,4019.457767,96.34400494,0
1.129423536,2.361051694,-0.055968739,-0.507898942,0.442697268,0,0.063822576,4025.934518,96.86466859,0
1.165056375,2.398922031,-0.034021977,-0.535606098,0.398054732,0,0.070300922,4029.344433,97.11670025,0
1.202315709,2.413594625,-0.009972205,-0.522270005,0.351042012,0,0.076756159,4031.53178,97.87446807,0
1.240212065,2.41174114,0.020413382,-0.475342383,0.30194429,0,0.083177489,4033.698706,98.56792196,0
1.277901803,2.402452973,0.053986729,-0.406135509,0.251479216,0,0.089552578,4036.507189,99.42873703,0
1.314455055,2.393240198,0.084701211,-0.314923295,0.200841966,0,0.095867906,4039.635599,100,0
1.349232569,2.38110548,0.118265625,-0.230910127,0.1502657,0,0.102109169,4042.144002,100,0
1.380610195,2.361177688,0.147910662,-0.149872447,0.100041986,0,0.108261745,4044.18591,100,0
1.408765049,2.334740499,0.174119458,-0.078023405,0.050981794,0,0.11431133,4046.217578,100,0
1.434064763,2.30553959,0.196682746,-0.019498741,0.003917684,0,0.120244099,4048.445465,100,0
1.456744431,2.276774766,0.215340367,0.023638522,-0.040596364,-1E-12,0.126046977,4050.895395,100,0
1.476984194,2.250057126,0.230072159,0.050780372,-0.082205744,0,0.131707842,4053.486238,100,0
1.494906155,2.225586117,0.242391453,0.064762884,-0.120631428,5E-12,0.137215648,4056.109563,100,0
1.510728244,2.202817703,0.249304851,0.060115912,-0.155807978,4E-12,0.142560465,4058.685543,100,0
1.524483966,2.181138725,0.254023295,0.046998024,-0.187632843,-1.1E-11,0.147733514,4061.180784,100,0
