Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
1.430108802,49.41572537,-0.022984097,-0.052820476,-17.29003237,0.803982011,-3.55108E-05,-0.718148026,-0.305010308
1.461150313,49.4289817,-0.023223271,-0.054352712,-17.78367586,0.827033028,-3.70831E-05,-0.732100871,-0.29306457
1.488863992,49.44240006,-0.023423933,-0.055821665,-18.27747054,0.850100173,-3.8656E-05,-0.745516572,-0.281797308
1.513200126,49.45599166,-0.023587027,-0.05722554,-18.77141651,0.873183844,-4.02293E-05,-0.75838973,-0.271223311
1.534123746,49.46976246,-0.02371425,-0.058562823,-19.2655139,0.896284441,-4.18031E-05,-0.770715643,-0.261354032
1.551613967,49.48371512,-0.023807835,-0.059832261,-19.75976288,0.919402367,-4.33696E-05,-0.782490325,-0.252197856
1.565663128,49.49784607,-0.023870339,-0.061032855,-20.25416368,0.942538022,-4.44982E-05,-0.793710534,-0.243760097
1.576275445,49.51212332,-0.02390446,-0.062163851,-20.74871662,0.965691708,-4.52242E-05,-0.80437372,-0.236043177
1.583467116,49.5265303,-0.023912868,-0.063224708,-21.24342158,0.988863613,-4.59505E-05,-0.81447804,-0.229048182
1.587266752,49.54107271,-0.023898045,-0.064215132,-21.73827816,1.012053906,-4.6677E-05,-0.824022466,-0.222772737
1.587715248,49.55575886,-0.023862158,-0.065135087,-22.23328594,1.035262757,-4.74037E-05,-0.833006871,-0.217210203
1.584865527,49.57059539,-0.023806988,-0.065984807,-22.72844461,1.058490342,-4.81306E-05,-0.841432088,-0.212350333
1.578782133,49.58558558,-0.023733906,-0.066764784,-23.22376433,1.081737339,-4.88578E-05,-0.849299934,-0.208179787
1.569540675,49.6007248,-0.023643882,-0.067475761,-23.71922454,1.105002997,-4.95852E-05,-0.856613191,-0.204682485
1.55722742,49.61600178,-0.023537508,-0.068118722,-24.21483529,1.128287942,-5.03128E-05,-0.863375505,-0.201840019
1.541939139,49.631404,-0.023415036,-0.068694876,-24.71059652,1.15159236,-5.10406E-05,-0.869591448,-0.199631701
1.523782999,49.64692045,-0.023276433,-0.069205659,-25.20650809,1.174916443,-5.24025E-05,-0.875266459,-0.198034364
1.50287631,49.66254229,-0.023121434,-0.06965273,-25.70256945,1.198260516,-5.45294E-05,-0.880406967,-0.197022234
