Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_acc_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,engine.engine_rpm,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance
0.008837362,-8.963227504,0.034245152,0.013682352,0.001362363,3637.30865,0.000295734,-0.13688069
4.05524E-05,-9.006210039,0.030787363,0.013416912,0.004824283,3628.578543,0.000292386,-0.139982266
-0.00856589,-9.001658055,0.020675188,0.013113076,0.007978098,3620.265042,0.000289045,-0.143036354
-0.016958194,-8.959943048,0.007536025,0.013059715,0.010760203,3612.250869,0.000285712,-0.146035094
-0.025089705,-8.899506691,-0.005504606,0.01307322,0.013208084,3604.460853,0.000282386,-0.148984642
-0.032915037,-8.840031826,-0.016028332,0.013350683,0.015462366,3596.848009,0.000279069,-0.151880009
-0.040415135,-8.795869405,-0.022668692,0.013710176,0.01763366,3589.379959,0.000275759,-0.154723551
-0.047603519,-8.771775608,-0.02535903,0.014175861,0.01975034,3582.032327,0.000272456,-0.157514072
-0.054520881,-8.763265034,-0.025148545,0.014728456,0.021700332,3574.784965,0.000269161,-0.160250679
-0.061190753,-8.760962182,-0.023605688,0.015298205,0.023402272,3567.619,0.000265873,-0.162935237
-0.067614815,-8.755809423,-0.022149968,0.015846673,0.024816905,3560.515179,0.000262593,-0.165564211
-0.073631905,-8.790044179,0.012817301,0.016545213,0.026015657,3548.106775,0.000259323,-0.168141965
-0.079256135,-8.885175047,0.029865555,0.01739506,0.02707357,3537.376798,0.000256065,-0.170662974
-0.084663427,-8.97122226,0.035806438,0.016991814,0.027819767,3527.936558,0.000252815,-0.17313354
-0.089861571,-9.016568729,0.032126003,0.018113052,0.028097385,3519.14929,0.000249572,-0.175546651
-0.094841866,-9.01448035,0.021666603,0.018201368,0.02794866,3510.805283,0.000246338,-0.177909715
-0.099539862,-8.974220101,0.008178894,0.018048227,0.027551455,3502.778945,0.000243111,-0.18021577
-0.103889139,-8.913557684,-0.005224734,0.01788382,0.027161801,3494.992139,0.000239891,-0.182472037
-0.107862617,-8.852211484,-0.016140937,0.017702845,0.026999741,3487.396276,0.00023668,-0.184672401
-0.111487133,-8.805318618,-0.023159306,0.017435395,0.027129986,3479.956677,0.000233476,-0.186823477
-0.114826666,-8.778746016,-0.026122602,0.017046236,0.02742038,3472.645858,0.000230279,-0.188919638
-0.117945816,-8.768806375,-0.026011367,0.016539658,0.027623641,3465.440455,0.00022709,-0.190967192
-0.120882601,-8.7662542,-0.024397498,0.015945813,0.027516902,3458.318977,0.000223908,-0.192960515
-0.123641349,-8.761594654,-0.022766506,0.015311136,0.027000665,3451.260349,0.000220734,-0.194906064
