Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,Vehicle_States.side_slip,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
0.000112409,39.85235172,-4.03268E-06,-2.45413E-06,2.82063E-06,-12.53621706,0,0,-1.19208E-05,3.18334E-05
0.000112068,39.87272613,-4.02134E-06,-2.43953E-06,2.81064E-06,-12.93466129,0,0,-1.20169E-05,3.1425E-05
0.000111748,39.89299873,-4.01367E-06,-2.42592E-06,2.80119E-06,-13.33330432,0,0,-1.21162E-05,3.10277E-05
0.000111437,39.91318419,-4.00983E-06,-2.41314E-06,2.79198E-06,-13.7321454,0,0,-1.22182E-05,3.0637E-05
0.000111121,39.93329671,-4.00984E-06,-2.40096E-06,2.78267E-06,-14.131184,0,0,-1.23225E-05,3.02481E-05
0.000110788,39.95334992,-4.01369E-06,-2.38915E-06,2.77293E-06,-14.53041975,0,0,-1.24285E-05,2.98559E-05
0.000110423,39.97335663,-4.02133E-06,-2.37744E-06,2.76242E-06,-14.92985243,0,0,-1.25353E-05,2.94556E-05
0.000110014,39.9933286,-4.03249E-06,-2.36556E-06,2.75081E-06,-15.329482,0,0,-1.26422E-05,2.90425E-05
0.000109547,40.01327623,-4.04671E-06,-2.35323E-06,2.73776E-06,-15.72930853,0,0,-1.27484E-05,2.86123E-05
0.000109009,40.03320806,-4.06333E-06,-2.34017E-06,2.72297E-06,-16.12933219,0,0,-1.28532E-05,2.81603E-05
0.00010839,40.05313033,-4.08183E-06,-2.32612E-06,2.70617E-06,-16.52955326,0,0,-1.29559E-05,2.76826E-05
0.00010768,40.07304644,-4.10161E-06,-2.31083E-06,2.6871E-06,-16.92997209,0,0,-1.30556E-05,2.7176E-05
0.00010687,40.09295734,-4.12201E-06,-2.29407E-06,2.66556E-06,-17.33058902,0,0,-1.31517E-05,2.66378E-05
0.000105953,40.11286339,-4.14227E-06,-2.27564E-06,2.64138E-06,-17.73140442,0,0,-1.32436E-05,2.6066E-05
0.000104926,40.13276495,-4.16169E-06,-2.25541E-06,2.61446E-06,-18.13241862,0,0,-1.33306E-05,2.54594E-05
0.000103784,40.15266237,-4.17954E-06,-2.23323E-06,2.58473E-06,-18.53363192,0,0,-1.34124E-05,2.48175E-05
0.000102528,40.17255597,-4.19522E-06,-2.20904E-06,2.55219E-06,-18.93504462,0,0,-1.34884E-05,2.41406E-05
0.00010116,40.19244602,-4.20824E-06,-2.1828E-06,2.51689E-06,-19.33665695,0,0,-1.35585E-05,2.34296E-05
9.96831E-05,40.21233276,-4.21823E-06,-2.15451E-06,2.47892E-06,-19.73846915,0,0,-1.36222E-05,2.26862E-05
9.81042E-05,40.23221639,-4.22505E-06,-2.1242E-06,2.43845E-06,-20.1404814,0,0,-1.36795E-05,2.19127E-05
9.64304E-05,40.25209712,-4.2283E-06,-2.09196E-06,2.39566E-06,-20.54269389,0,0,-1.37303E-05,2.1112E-05
0.000094671,40.27197512,-4.22777E-06,-2.05791E-06,2.35079E-06,-20.94510674,0,0,-1.37746E-05,2.02872E-05
9.28367E-05,40.29185054,-4.22348E-06,-2.02218E-06,2.30411E-06,-21.34772007,0,0,-1.38125E-05,1.94423E-05
9.09396E-05,40.31172351,-4.21562E-06,-1.98496E-06,2.25591E-06,-21.75053397,0,0,-1.38442E-05,1.85814E-05
8.89933E-05,40.33159411,-4.20459E-06,-1.94647E-06,2.20654E-06,-22.15354849,0,0,-1.387E-05,1.77095E-05
8.70117E-05,40.35146241,-4.19055E-06,-1.90695E-06,2.15635E-06,-22.55676367,0,0,-1.38902E-05,1.68321E-05
8.50103E-05,40.37132844,-4.17368E-06,-1.86667E-06,2.10571E-06,-22.96017953,0,0,-1.39052E-05,1.59543E-05
8.30047E-05,40.39119219,-4.15434E-06,-1.82592E-06,2.05502E-06,-23.36379605,0,0,-1.39156E-05,1.50817E-05
8.1011E-05,40.41105367,-4.13297E-06,-1.785E-06,2.00468E-06,-23.7676132,0,0,-1.39219E-05,1.42199E-05
7.90453E-05,40.43091283,-4.11006E-06,-1.74422E-06,1.95507E-06,-24.17163094,0,0,-1.39248E-05,1.33742E-05
7.71232E-05,40.45076963,-4.08605E-06,-1.7039E-06,1.90659E-06,-24.5758492,0,0,-1.39248E-05,1.25501E-05
7.52601E-05,40.47062403,-4.06139E-06,-1.66435E-06,1.85962E-06,-24.9802679,0,0,-1.39227E-05,1.17529E-05
7.34706E-05,40.49047596,-4.03647E-06,-1.6259E-06,1.81452E-06,-25.38488695,0,0,-1.39192E-05,1.09876E-05
7.17688E-05,40.51032535,-4.01166E-06,-1.58886E-06,1.77162E-06,-25.78970625,0,0,-1.39151E-05,1.02591E-05
7.01678E-05,40.5301721,-3.98727E-06,-1.55354E-06,1.73125E-06,-26.19472568,0,0,-1.39112E-05,9.57207E-06
6.86797E-05,40.55001614,-3.96358E-06,-1.52022E-06,1.6937E-06,-26.59994512,0,0,-1.39081E-05,8.93061E-06
