Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle,driver_demands.brake
-0.001568319,34.66604805,6.42588E-05,0.000132676,-11.86152162,-5.50087E-05,1.92665E-05,-0.000134827,0.00276889,100,0
-0.001629559,34.68663769,6.62212E-05,0.000138708,-12.20808821,-0.000102145,1.92917E-05,-0.000107872,0.002796567,100,0
-0.001688711,34.70719148,6.81238E-05,0.000144769,-12.55485693,-0.000151712,1.93169E-05,-7.99199E-05,0.002824612,100,0
-0.001745733,34.72771801,6.9964E-05,0.000150856,-12.90182781,-0.000203655,1.93422E-05,-5.1066E-05,0.002852781,100,0
-0.001800607,34.74822487,7.17406E-05,0.000156966,-13.24900097,-0.000257775,1.93674E-05,-2.15444E-05,0.002881467,100,0
-0.001853332,34.76871837,7.34537E-05,0.000163095,-13.59637663,-0.000314547,1.93927E-05,9.08133E-06,0.002910238,100,0
-0.001903925,34.78920318,7.51043E-05,0.000169243,-13.94395506,-0.000373515,1.9418E-05,4.03211E-05,0.002939392,100,0
-0.001952416,34.80968196,7.66946E-05,0.000175408,-14.2917366,-0.000434882,1.94433E-05,7.23448E-05,0.002968705,100,0
-0.001998848,34.83015549,7.8227E-05,0.000181587,-14.63972159,-0.000498725,1.94686E-05,0.000105197,0.002998204,100,0
-0.002043275,34.85062414,7.97043E-05,0.00018778,-14.98791037,-0.000564778,1.94693E-05,0.000138579,0.003027929,100,0
-0.002085758,34.87108827,8.11294E-05,0.000193986,-15.33630327,-0.000633461,1.93325E-05,0.000172883,0.003057632,100,0
-0.002126367,34.89154825,8.25053E-05,0.000200205,-15.68490058,-0.000704404,1.91712E-05,0.00020771,0.003087605,100,0
-0.002165176,34.91200442,8.38346E-05,0.000206436,-16.0337026,-0.000777696,1.90098E-05,0.000243121,0.003117421,100,0
-0.002202264,34.93245708,8.51201E-05,0.000212679,-16.38270956,-0.000853468,1.88484E-05,0.000279223,0.003147368,100,0
-0.002237714,34.95290649,8.63642E-05,0.000218936,-16.73192171,-0.000931399,1.86868E-05,0.000315668,0.00317714,100,0
-0.00227161,34.97335287,8.75689E-05,0.000225205,-17.08133924,-0.001011851,1.85251E-05,0.000352797,0.003206818,100,0
-0.002304039,34.99379648,8.87364E-05,0.000231488,-17.43096232,-0.001094514,1.83634E-05,0.000390276,0.003236333,100,0
-0.002335086,35.01423753,8.98684E-05,0.000237785,-17.78079112,-0.001179431,1.82015E-05,0.000428126,0.003265538,100,0
-0.002364839,35.03467625,9.09666E-05,0.000244097,-18.13082575,-0.001266761,1.80396E-05,0.000466485,0.003294583,100,0
-0.00239338,35.05511284,9.20325E-05,0.000250424,-18.48106633,-0.001356173,1.78775E-05,0.000505003,0.003323116,100,0
-0.002420794,35.07554748,9.30674E-05,0.000256767,-18.83151292,-0.001448017,1.77154E-05,0.00054401,0.003351474,100,0
-0.002447161,35.09598029,9.40727E-05,0.000263128,-19.18216558,-0.001541997,1.75532E-05,0.000583191,0.003379229,100,0
-0.00247256,35.11641139,9.50496E-05,0.000269507,-19.53302436,-0.001638159,1.73908E-05,0.000622573,0.003406609,100,0
-0.002497064,35.13684088,9.59993E-05,0.000275904,-19.88408925,-0.001736639,1.72315E-05,0.000662275,0.003433391,100,0
-0.002520747,35.15726883,9.69229E-05,0.00028232,-20.23536027,-0.001837125,1.70947E-05,0.000701969,0.003459612,100,0
-0.002543678,35.17769531,9.78216E-05,0.000288756,-20.58683739,-0.001939977,1.69718E-05,0.000741996,0.003485239,100,0
-0.00256592,35.19812037,9.86963E-05,0.000295213,-20.93852056,-0.002044874,1.6849E-05,0.00078202,0.003510133,100,0
-0.002587535,35.21854403,9.95482E-05,0.00030169,-21.29040974,-0.002151914,1.67261E-05,0.000822121,0.00353444,100,0
-0.002608582,35.23896633,0.000100378,0.00030819,-21.64250486,-0.002261174,1.66032E-05,0.00086236,0.003557855,100,0
-0.002629113,35.25938728,0.000101188,0.000314711,-21.99480586,-0.002372383,1.64802E-05,0.000902453,0.003580692,100,0
-0.002649179,35.27980688,0.000101977,0.000321254,-22.34731262,-0.002485933,1.63571E-05,0.000942774,0.003602563,100,0
-0.002668825,35.30022511,0.000102747,0.00032782,-22.70002508,-0.002601433,1.6234E-05,0.000982918,0.003623727,100,0
-0.002688093,35.32064198,0.000103499,0.000334408,-23.05294312,-0.002719063,1.61108E-05,0.00102305,0.00364394,100,0
-0.002707019,35.34105748,0.000104234,0.000341018,-23.40606664,-0.002838802,1.59875E-05,0.001063134,0.003663317,100,0
-0.002725639,35.36147161,0.000104951,0.000347652,-23.75939552,-0.002960472,1.58641E-05,0.001102979,0.003681768,100,0
-0.002743981,35.38188438,0.000105651,0.000354307,-24.11292966,-0.003084399,1.57407E-05,0.001142895,0.003699269,100,0
-0.002762073,35.4022958,0.000106335,0.000360985,-24.46666894,-0.003210197,1.56172E-05,0.001182483,0.003715874,100,0
-0.002779937,35.42270584,0.000107002,0.000367684,-24.82061323,-0.003338132,1.54948E-05,0.001221994,0.003731425,100,0
-0.002797592,35.44311451,0.000107653,0.000374404,-25.17476244,-0.003468044,1.53866E-05,0.001261257,0.00374611,100,0
-0.002815054,35.46352178,0.000108288,0.000381146,-25.52911643,-0.003599908,1.5291E-05,0.001300231,0.003759652,100,0
-0.002832337,35.48392763,0.000108907,0.000387908,-25.8836751,-0.003733891,1.5196E-05,0.001339072,0.00377236,100,0
-0.00284945,35.50433202,0.000109509,0.000394689,-26.23843834,-0.003869697,1.5101E-05,0.001377471,0.003783899,100,0
-0.002866399,35.52473492,0.000110094,0.000401489,-26.59340603,-0.00400767,1.5006E-05,0.001415757,0.003794535,100,0
-0.002883189,35.54513629,0.000110663,0.000408307,-26.94857808,-0.004147491,1.49109E-05,0.001453602,0.00380404,100,0
-0.00289982,35.56553613,0.000111215,0.000415142,-27.30395438,-0.004289312,1.48157E-05,0.001491143,0.003812573,100,0
