Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,Vehicle_States.side_slip,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle
356.169641,201.0002318,-3.45548E-06,10.00009318,-6.77083E-06,1.01543E-06,-3.45545E-07,-354.3585296,-201,0,-0.000204738,0.001978146,8.361486751
356.2696419,201.0002318,-2.57983E-06,10.00009187,-6.73866E-06,7.10316E-07,-2.5798E-07,-354.4585305,-201,0,-0.000205349,0.001981683,8.361502749
356.3696429,201.0002319,-1.71087E-06,10.00009058,-6.70681E-06,4.10688E-07,-1.71085E-07,-354.5585314,-201,0,-0.000205929,0.001985188,8.361518627
356.4696438,201.0002319,-8.4869E-07,10.0000893,-6.67527E-06,1.16502E-07,-8.4868E-08,-354.6585324,-201,0,-0.000206477,0.001988659,8.361534387
356.5696446,201.0002318,6.585E-09,10.00008803,-6.64405E-06,-1.72292E-07,6.59E-10,-354.7585333,-201,0,-0.000206995,0.001992096,8.361550028
356.6696455,201.0002318,8.54897E-07,10.00008678,-6.61316E-06,-4.5574E-07,8.5489E-08,-354.8585341,-201,0,-0.000207483,0.0019955,8.361565551
356.7696464,201.0002318,1.69615E-06,10.00008553,-6.58258E-06,-7.33889E-07,1.69613E-07,-354.958535,-201,0,-0.000207942,0.001998869,8.361580956
356.8696472,201.0002317,2.53025E-06,10.0000843,-6.55232E-06,-1.00679E-06,2.53023E-07,-355.0585359,-201,0,-0.000208373,0.002002204,8.361596246
356.9696481,201.0002316,3.35716E-06,10.00008309,-6.52239E-06,-1.27448E-06,3.35713E-07,-355.1585367,-201,0,-0.000208775,0.002005505,8.361611419
357.0696489,201.0002315,4.17677E-06,10.00008188,-6.49278E-06,-1.53703E-06,4.17673E-07,-355.2585376,-201,0,-0.000209149,0.002008771,8.361626477
357.1696497,201.0002314,4.98904E-06,10.00008069,-6.4635E-06,-1.79447E-06,4.989E-07,-355.3585384,-201,0,-0.000209496,0.002012004,8.36164142
357.2696505,201.0002312,5.79391E-06,10.0000795,-6.43454E-06,-2.04685E-06,5.79386E-07,-355.4585392,-201,0,-0.000209817,0.0020152,8.361656249
357.3696513,201.0002311,6.59131E-06,10.00007833,-6.40589E-06,-2.29423E-06,6.59126E-07,-355.55854,-201,0,-0.000210111,0.002018364,8.361670964
357.4696521,201.0002309,7.38121E-06,10.00007718,-6.37758E-06,-2.53665E-06,7.38116E-07,-355.6585408,-201,0,-0.00021038,0.002021491,8.361685566
357.5696528,201.0002307,8.16354E-06,10.00007603,-6.34958E-06,-2.77416E-06,8.16348E-07,-355.7585416,-201,0,-0.000210624,0.002024585,8.361700056
357.6696536,201.0002305,8.93828E-06,10.00007489,-6.32191E-06,-3.00682E-06,8.93821E-07,-355.8585423,-201,0,-0.000210843,0.002027644,8.361714434
357.7696543,201.0002303,9.70537E-06,10.00007377,-6.29457E-06,-3.23467E-06,9.7053E-07,-355.9585431,-201,0,-0.000211038,0.002030667,8.361728701
