Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_acc_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,engine.engine_rpm,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.throttle,driver_demands.brake
3.08148E-05,0.262930382,-0.019090434,5.53641E-05,-2.59E-05,4905.937425,1.30538E-07,0,0,0
0.000197461,0.077813518,0.023811902,0.000207442,-0.000185993,4911.995288,-1.47189E-05,0.000152693,0.000624706,0
0.000564771,-0.242431547,0.051438918,0.003606254,-1.75704E-07,4904.541791,1.30538E-07,-0.028880444,0.068808656,0
0.003514088,-0.410282414,0.079245488,0.017299221,0.002120662,4907.25676,1.30538E-07,-0.022676691,0.40599091,0
0.01654491,-0.398522867,0.078081106,0.062611541,0.011325703,4912.231373,1.30538E-07,-0.016473434,1.103676059,0
0.052797072,-0.303068446,0.054716711,0.148703295,0.03601508,4916.353852,1.30538E-07,-0.010271197,2.137829088,0
0.11994051,-0.213845513,0.02663093,0.263564296,0.080736,4919.113166,1.30538E-07,-0.00407082,3.397701327,0
0.213994745,0.048451668,-0.197800993,0.383694247,0.142321129,4970.24892,1.30538E-07,0.002126408,43.59129652,0
0.321770523,0.699950335,-0.270037528,0.481365947,0.211789884,5015.216112,3.5083E-07,0.008319002,53.05607984,0
0.425771556,1.252877551,-0.362241042,0.524790736,0.277339481,5030.737817,6.11779E-07,0.014505959,59.43108594,0
0.510160071,1.563627582,-0.403881812,0.50242025,0.32801583,5030.197627,8.72772E-07,0.020687172,62.5605983,0
0.566609718,1.671586892,-0.382299722,0.421601818,0.357422654,5022.735837,1.13384E-06,0.026863344,63.45836796,0
0.598441618,1.650189469,-0.319021364,0.299294047,0.366377365,5015.666831,1.39498E-06,0.033035725,64.06417967,0
0.618015867,1.577975914,-0.240396981,0.170393377,0.362287255,5012.810933,1.65622E-06,0.039205716,64.75243521,0
0.634580517,1.511589962,-0.168930695,0.046761709,0.350891011,5014.158425,1.91755E-06,0.045374339,65.50741466,0
0.652369586,1.474435218,-0.116753418,-0.067258006,0.335197588,5017.937882,2.17897E-06,0.051541708,66.32919459,0
0.672906592,1.464243672,-0.083048929,-0.160478429,0.317029855,5022.401445,2.44046E-06,0.057706897,67.224481,0
0.696414989,1.46641656,-0.058189421,-0.227887079,0.297291488,5026.045885,2.44524E-06,0.063867924,67.77245358,0
0.722516498,1.468049778,-0.039651106,-0.267589136,0.276302934,5029.346235,2.047E-06,0.070021607,68.82691709,0
0.750689116,1.469084553,-0.020894072,-0.281328102,0.254211708,5032.660091,1.63244E-06,0.07616353,69.95488568,0
0.780371929,1.469482714,-0.00131,-0.272621865,0.231152845,5035.989198,1.21776E-06,0.082288162,71.14774024,0
0.811027952,1.469234604,0.018779418,-0.246184373,0.207307522,5039.374042,8.02954E-07,0.088388983,72.39914685,0
0.842180259,1.468617182,0.038597549,-0.207368472,0.1829168,5042.837201,3.88029E-07,0.094458646,73.70183201,0
0.873310027,1.467994798,0.057317208,-0.162892296,0.158136244,5046.382789,-2.7016E-08,0.100489172,75.04808542,0
0.903332608,1.46767029,0.07437935,-0.116723819,0.132819281,5050.005138,-4.42181E-07,0.106472162,76.42982676,0
0.932327782,1.467802256,0.089629765,-0.072668889,0.107441615,5053.692481,-8.57465E-07,0.112399031,77.83863145,0
0.960465172,1.468422491,0.103925973,-0.034303604,0.082304404,5057.429899,-1.27287E-06,0.118261182,79.26582506,0
0.987608025,1.466299602,0.117943652,-0.000287826,0.057690044,5060.346987,-1.44647E-06,0.124050193,80.02886872,0
1.013763164,1.458500055,0.127247238,0.023832953,0.033683293,5063.519926,-1.28844E-06,0.129757915,81.47116979,0
1.038877834,1.453414206,0.135679198,0.039747144,0.010553847,5067.256556,-1.12011E-06,0.135376591,82.90436206,0
1.062918418,1.453014451,0.141779247,0.047711824,-0.011483541,5071.188306,-9.51731E-07,0.140898912,84.31631041,0
1.085849679,1.455965687,0.145358484,0.048237761,-0.03232275,5075.104189,-7.83306E-07,0.146318025,85.70109713,0
1.107640342,1.460492648,0.146842627,0.042210657,-0.051922832,5078.906912,-6.14834E-07,0.151627565,87.05170524,0
1.128254871,1.465394723,0.146744214,0.030862621,-0.070348133,5082.57454,-4.46314E-07,0.156821663,88.36067697,0
1.147665525,1.470184477,0.145440619,0.015490544,-0.087575321,5086.121279,-2.77747E-07,0.161894931,89.62047346,0
1.165836137,1.4748353,0.143123239,-0.002555034,-0.103562414,5089.565852,-1.09132E-07,0.166842428,90.82381118,0
1.182719551,1.479487263,0.139845401,-0.021983846,-0.118272326,5092.91724,5.953E-08,0.171659636,91.96397383,0
1.198261307,1.482393414,0.137726706,-0.041641184,-0.131689563,5095.642892,1.52325E-07,0.176342437,92.61752451,0
1.212385633,1.481866127,0.132539578,-0.060548704,-0.143886228,5098.397043,1.61916E-07,0.180887077,93.61799443,0
1.225031006,1.482689418,0.126883844,-0.07796174,-0.154771688,5101.375992,1.70311E-07,0.185290141,94.53941113,0
1.236110259,1.486080401,0.121307133,-0.091710197,-0.164264202,5104.368464,1.78708E-07,0.189548549,95.37621694,0
1.245632465,1.491393542,0.112720719,-0.10574859,-0.172384101,5107.251375,1.87107E-07,0.193659527,96.12813332,0
